Id,Text,Correct,CorrSize,Network,NetSize,Memories,MemSize,Cor2Net,Cor2Mem,Mem2Net,NetworkND,NetSizeND,MemoriesND,MemSizeND,Cor2NetND,Cor2MemND,Mem2NetND
s00107,Eso es lo que se refleja,esoeslokesereflexa,18,kpppkr(r(bbieeeeeeeer(r(ssssssssssr(r(ooodddeeeeeer(r(sssssr(r(llloooookkkkkxxeessssssdeeeer(r(r(rrrrrr(eeeeer(r(ffffffr(r(iiZgbbeeeeeer(xexxxxxxxxxeeaaaaaxxxxxxxaaaxx,148,kpppkr(r(bbiieeeeeeer(r(r(sssssssssr(r(ooododeeeeeer(r(sssfsr(r(llloooooukkkknxeesssssttieeer(r(r(rrrrrr(eeeeer(r(ffffffr(r(iiigbbeeeeeeexexxxxxxxxr(eaaaaaaoxxxxxxaaoox,148,131,131,16,bier(oder(loxeesderer(iZer(xexxeaxax,32,bier(ododer(lxeesstierer(ibexexexox,32,19,21,11
s00109,"Fondo de las Naciones Unidas para la infancia, UNICEF",fondodelanasonesunidaspar(alaimfansiaunisef,42,ppppppkoooafffffffffguuuuoooooooddnnnddddddooodoooddddeeeellllleaaaer(lddddddaaasssstStStStStSiiiiundddeeeessssssssuuuuudddllliiddeeeaasssssssppptttpaaaaaaar(r(llllddeiiiiinnndfffffffffaaaaaaaennnnnnnnssssstZiiiiieeeaaaaaaaaaar(r(ppppppkkkkkkuuuuuuumnnn~nndiiinsssssssssddr(eeeeeeeeeeeeefffffffffffffff,290,ppppppkoooor(ffffffffuuuuuoooooooodnnndddddtooodoooddddeeeellllleaaaer(lldddddaaassssptStStStSiiiundddeeeessssssssuuuuudddllliiddieaaosssssstppptttfaaaaaaar(r(llllddiiiiiinndtffffffffkoaaaaaaonnnnnnnnsssstffiiiiieeeaaaaaaaaaar(pfpppptkkkkkkuuuuuuunnnnntdiiinssssssssssdr(eeeeeeeeeeeeefffffffffffffff,289,254,253,29,kogunndododeelar(aasiunddeesulideasspar(denndenstiar(kunndinsef,60,kor(funndtododeelar(aassiunddeesulidiosstar(indkoonstfiar(kuunntinsef,65,30,37,16
s00119,Cocinar es un acto de generosidad,kosinaesunaktodexener(osidad,27,kdkkkkkkkooooossssssssssssiiiiiiinnnnnndeeaaaaaaaaaaaaaaaaaaoaaaaaaaaaaaaaddddpppppkkkpdr(eeer(ssssssr(r(r(uuuunnnnnnddddaaaaaaaaddktkpttttoooodddddeeer(fffffxxiieeennnnneellrrrrr(r(ooor(sssssssfdiiiiinndddddr(aaaaaaaaar(r(ddddtttddddddddddeaddd,233,sskkkkkkoooooossssssssssftiiiiiiinnnnnndieaaaaaaaaaaaaaaaaafoaaaaaaaaaaaaattddtptgbor(r(r(r(r(eeer(ssssssr(r(r(uuuunnnnnnddddaaaaaaaaesftkpttttoooodddddeeer(ffffffxiiieennnnniullrrrrr(r(ooor(sssssssfsiiiiinndddddr(eaaaaaaaar(r(pdebtttddddsdffseear(or(,233,206,207,38,koossindeader(unndadtoder(xienelor(indr(ar(dead,42,skoostindiafobor(er(unndesttoder(xienulor(sinder(desar(or(,51,19,30,19
s00125,para una buena parte de las personas no,par(aunabuenapar(teelasper(sonasno,31,pptppppaaaaar(r(r(r(r(r(aaaakggkoooooonmmmmlr(eaaaaobggguuueeer(r(r(r(r(eaaaaaapppppppuoaaaar(r(r(r(r(dttttttddeeeeeeeeeeeellllleaaar(r(sssdppptpppppr(eeeer(r(r(r(sssssssstduuoooooor(r(nnnnnllaaaaaaaaaassssssstttpppppppppppdnmmmmmmmn~mmbleeoooooooooooooooooopoaaaar(lnnn,242,potppppaaaaar(r(r(r(r(r(aaaaokkkooooooummmpur(eaaaaobgbguuueeer(r(r(r(r(eaaaaoppppppppuoaaaar(r(r(r(r(stttttdddeeeeeeeeeeeelllllaaaar(r(ssstttptpppppr(eeeer(r(r(r(fssssssstuuuoooooor(nnnnnnllaaaaaaaaaaossssssttttttppppppppdlmmmmmmmmmmliuooooooooooooooooooomoaaaaolnnn,242,213,214,31,par(akoonoguer(apuar(deelar(pr(er(stunlaasstmblopor(,45,popar(akommpur(aguer(apuar(stdeellar(stpr(er(stunlaosstiomal,53,22,27,20
s00134,Empaque y envase en la industria de los alimentos,empagiZembaseeleindustr(aelosalimentos,37,r(r(r(eeeeeemmmmmmmmpppppppaaaaaaaar(r(ar(pppr(r(liiiiiiiiiiiieeommmmmmmbbpr(aaaaaaaaaaassssssstdddeeeeeeeeeeeeeeeeeeeeeeeellllldeeeeeeeennnmmmddddliuuuussssssttddeeeeeeeeer(r(llleoooosssttdeeaeelllllr(iiiiin~n~n~mmbbeeeeeeeeeenndddtpttttttuuuuuxxxxxxssssssssfffffd,250,eer(eeeeeeummmmnnppppppppaaaaaaaar(r(ar(ppbr(r(liiiiiiiiiiiieeommmmmmmbbbbaaaaaaaaaaadssssssttddeeeeeeeeeeer(r(er(eeeeeeeeilllllleeeeeeeennnmmmddddluuuuussssssttddeeeeeeeeer(r(llluoooosssttdaaaeelllllliiiiimn~mmmbbeeeeeeeeeenndddttttttttuuuuuxxxxxxssssssssxfffff,250,219,219,26,r(empar(ar(pr(iommbpr(aasstdeeldeendustder(osstdeelimbenndtusd,56,er(unpar(ar(br(iommbadstder(er(iendustder(osstelimbenndtu,50,29,27,16
s00137,desde hace mucho tiempo viven de la limosna de las palabras,desdeasemutSotiempobibendelalimonaelaspalabr(as,45,ddddddddddeeeeeeeddddddeeeeaaessssssieeemmmmmmuuur(r(tStStSrrrr(eeeeer(eeptttttZiiiiiieaoonmmmbppppppppokooookkkooooobbbbbbbbiiiiiibbbiieeeeennnnddddeeeellllleaeeellllliiiimmn~n~n~n~n~n~n~uuuuuooor(r(r(r(r(nmnmblr(aaaadddeeeelllllaaar(sssxggppppppppaaalllllllaaaaaaaaaabbbger(r(r(r(r(r(eaaaar(r(ssssssssssssssssssssssfffff,293,stddddddddeeeeeeeddddddieeaaaessssstiieeummmmuuuur(r(atStSr(rrr(eeeeer(eettttttZiiiiiieaoonmmmmppppppppuooooooooooooobbbbbbbbiiiiiibbbiieeeeennnnddddeeeellllleaeeellllliiiunmn~n~n~n~n~n~nuuuuuooor(r(r(r(r(nnnnulr(aaaadddeeeelllllaaafsssxugttppppppaaalllllllaaaaaaaaaar(bbooer(r(r(r(r(eaaaar(ssssssssssssssssssssssfsffff,293,250,250,33,dedeessiemutSer(eonmbpokokobiibbiennddeelaelior(mbr(aaddeellar(paallar(ar(,67,stdediesstimur(ar(er(ionmppubiibbiennddeelaelunor(ur(aaddeellasxupaallar(ber(ar(,72,35,40,25
s00139,no tiene nada que ver con el título y no debe usarse como tal,notinenadakeber(koneltituloinodebusar(sekomotal,45,ppppblmmnnnlllaaaddddttttttZiiiiiiidddeeeeeeennnndaaaaaaaaaaaaaaaar(r(r(ptttpZZiiubbbbeeeeeer(r(r(r(kkkkkdooooddddeeeeellllllsttpptttZiiiiiiiiiintttttnuuuuuullllldooooooooooooobbpppppppppppppptptdkppppppbiiiiiimmnnnduooooooddddddeeeeeer(llllulluuossssstdr(eeaaar(r(r(r(r(r(ssstddeeeer(pkkkkkkoouoummmbbbuuooogppptttttr(aaaaaaaaaallllllllllllllllellr(lr(,334,ttppmlmnnnnllr(aaaddddttttttZiiiiiiilldiieeeeennnldaaaaaaaaaaaaaaaar(r(r(ptttkrZiiubbboeeeeeer(r(r(okkkktuooooddddeeeeellllllsttppttdiiiiiiiiiiintttttuuuuuuulllllr(ooooooooooooobbppptpptppppppogttgttftpppr(iiiiiimmnnnduuoooooddddddeeeeeer(nlllulluuur(ssssttr(eeaaar(r(r(r(r(r(ssstteeeeer(tkkkkkkoouoummmbbbuuooouopptttttr(aaaaaaaaaallllllllllllllllellr(nl,334,296,295,43,bllaadideenndar(uber(dodeelstintudobindoder(ulosstr(ar(stder(kommbotr(aalel,68,r(aadiendar(uber(oktudeelstinttur(opopr(indoder(ulusttr(ar(ster(kommbotr(aalel,68,34,36,19
s00142,La agricultura y ganadería de acuerdo con la ordenación general de la economía,lagr(ikultur(iganader(iadeaguer(dokolaor(denasionxener(aldelakonomia,62,fr(lllillllllllr(aaaaaaaeer(r(eeeer(r(r(eiiiiinngkkkkkuulllllllltttttpuuoor(r(eeeeeer(eeer(dddeeeeeeer(r(r(r(r(aaaaaddddddeeeeeeeeeer(r(r(iiiiiiiiiiiiiiieeeeeeaaaaaaaaer(r(r(r(aaaeppttdnnnndddddZieeeeaaar(r(kkkkkkkguuuooor(r(r(eoooddddoooooookkkkkkkoouuillllleaooor(dlddddeeeeennndddeaer(r(ssssssssiiiiioooooooonkkkkkkr(eeeennnndeer(r(r(r(r(r(r(r(aaaaallllldddeeeeellllleeaaaadkkkkkkuuooonmmmmiiieuummmmmmmbbliiiiiiiiiiieeeaaaaaaaalllnlaann,400,fr(lllilllllllleaaaaaaar(er(r(eeeer(r(r(iiiiiinnukkkkkuullllllllttttttuuoor(r(eeeeeer(eeer(r(dr(eeeeeeer(r(r(r(r(aaaaaddddddeeeeeeeeeer(r(r(iiiiiiiiiiiiiiiieeeeeaaaaaaaaeor(aoaaaer(fttnnnnndddddiieeeeaaor(r(ppkkkkkuuuuooor(r(r(r(oooddddooooooookkkkkooouuillllleoooor(llddddeeeeennnnddeaar(r(sssssssfiiiiioooooooonukkkkkkeeeelnnndeilllr(r(r(r(r(aaaaellllldddeeeeellllleeaaaar(kkkkkkuuooonmmmmuuiuuummmmmmmbbiiiiiiiiiiiieeeaaaaaaaallllloonn,400,345,347,43,fir(ar(er(inkulpur(er(er(der(aadder(ier(adndiar(gur(odokolar(deenndder(sionennder(aaldeelaadkuonmimbliallan,93,fiar(er(er(inkultur(er(er(er(aadder(ior(ar(ndior(kur(odokolor(deenndder(fionkelndelr(aeldeelar(kuonmumbbialon,93,47,48,20
s00145,Trabajo educativo en las calles de la Ciudad de México: El caracol,tr(abaxuedukatiboenlaskaZesdelasuademexikoelkar(akol,50,ppkppttr(r(r(r(r(aaaaaabbbbuoaaaaaaaakkkkkkkuuuoeeedddoouuuuuukpkkkkZeeaaar(dtttpttttdr(iiiiiiiiilmbbuuggggoooooooooobbbbpppppppppppppppppppdkppppr(eeieenllllllllaaaaassssssstkkkkkkkaaaaaaeeZZZZieeeeeddddddeeelllldeaaar(r(ssffrrr(iiedeaaaaaedddZZZeeeenmmmbbbr(eeeeeexxxxxxxiiiiiiiingkpkkkkkkoooooooooooooopgppppppppppppppppppppppkkr(r(r(r(eeeeeeeeellldppppkkkkkkaaaaar(r(r(r(aaaaaappppkkkkkuuuooooooer(r(r(r(llr(eeeer(r(,393,tppppttr(r(r(r(r(aaaaaabbbbuoaaaaaaaaokkkkkkuuuoeeeddsuouuuuuuktkkkkkeeaaaer(ttttttttbr(iiiiiiiiiilbbuuggguoooooooooobbbbppppptpttttttpttkgbfr(ppppr(eeiiunllllllllaaaaassssssttkkkkkkkaaaaaaeeZZZiiieeeeldddddeeelllldeaaar(r(ssffrrr(iiedeaaaaaadddr(ZZeeeelmmmbbbr(eeeeeexxxxxxxiiiiiiignfftkkkkkkoooooooooooooor(opppppppttttpppttr(r(gbbppr(fpr(r(eeeieeeeelllgbpppkkkkkkaaaaar(r(r(r(aaaaapppttkkkkkuuuooooooer(r(r(r(llr(eeeer(r(,393,346,346,64,tr(r(abakuduZer(imbugopr(ienlaasstedeelder(ideZeenmbbr(exxinkor(elkar(akuer(er(,69,tr(r(abokusukar(br(ibugupr(unlaassteeldeelder(ideadeelmbbr(exxigntkor(otr(pr(pr(ielkar(akuer(er(,82,37,49,25
s00147,El morado nos indica que es tiempo de adviento de cuaresma,elmor(adonosindikakestiempodeadbientodekuar(esma,46,pppr(r(eer(r(r(llllnnnniigbuuoooor(r(r(r(r(aaaaaaaadddddddddnllddoooosssssstSsiiiiinnnnnmmmmbbbbiiiiiiiiiiikkkkkkkeeeeeeear(r(ptkkkkeeeeeeer(sssssstttttttdiiiiiiiieeeemmmmmmptttpttoooodddddiiiiieeeaaeeennnndbbbbbiiiiiiiieeeeeeennnnkpppppttttttooooooooooooooopppddddeeeeegkkkkkuuuuooaaar(r(r(r(r(eeeeeeeeeer(r(ssssr(mmmmmmmmeaaar(r(r(r(r(r(aa,313,ppr(r(r(eer(r(r(llllnnnniiluuuoooor(r(r(r(r(oaaaaaaoddddddddunllldoooossssssssiiiiinnnnnmmmmbbbbiiiiiiiiiiifkkkkkkeeeeeaear(r(ptkkkkeeeeeeer(sssssstttttttfiiiiiiiiieeenmmmmmptttpttoooodddddiiiiieeaaaeeer(lnlobbbbbiiiiiiiieeeeeeennnnktptptttttttooooooooooooooofppddddieeeekkkkkkuuuuoooaar(r(r(r(r(eeeeeeeeeer(sssstfimmmmmmmuaaar(r(r(r(r(or(a,313,270,271,32,pr(er(ibor(aadossimbbiikar(er(stiemptodienndbienttodeegkuar(er(mar(a,60,pr(er(ior(adundossimbbiifar(er(stfienmptodier(lobienktodiekuar(er(stfimuar(or(a,69,24,32,20
