Id,Text,Correct,Network,Memories,Cor2Net,Cor2Mem,Net2Mem
s05222,Nada hay tan atractivo para el hombre como el encanto de un niño,nadaaitanatr(aktibopar(aelombr(ekomoelenkantodeunin~o,nnaaoaaaetamatatinepoaelmooaoeeeppoeeoeenkanooeenniinrat,-e-aa--ae---a-at-inepoaeln-a-e-e-ee--oa-a-e--ae-o---nieeo---,31,43,37
s00603,El ordenador tiene una sintaxis pero no una semántica,elor(denador(tineunasintagsisper(onounasemantika,kenoomenoooteinennmasnntaeilteanmnmsnmantinkap,-m-----o-----as--n-a-------en---a-n-ina--,23,38,38
s00203,Todo sobre la guerra contra el terrorismo,todosobr(elagerakontr(elteror(ismo,ooosooaelaeeaakoetaaoaiisoa,-ooo-s-o-al-aeaa----e---ai--a,16,24,18
s09634,,pr(oponer(ikor(tinar(kambiospar(amexor(ar(legsplotasiondelsistemailasaplikasiones,tkopooneeikoaoinaakaamniaspaanekoaaoaestloasieaonaeisistpemaeilasapeiekasieanfp,k-aouo-n-eei-oa-i-aaao-nea-aa-e-oeaao-a---oas-ie-an--e-a-ei-o-s-a-i-e-s-iae----,31,59,51
s09518,,par(akesir(beesotr(afr(asekomumpor(estaslatitudes,kpaaeaeesiienaeeeesooaasaasankommnmoaestanaitlmlaasp,--aae-e-s-ieln-aeaee-saoa--a-a--an-aee--ae-a--nlea-s-,29,42,32
s02832,Llevar el control de los libros contables y corporativos de la asociación,Zebar(elkontr(oldeloslibr(oskontablesikor(por(atibosdelasosiesion,pieaoaaeekoontraleloseiilnoskonaalieskpiikoopoapiinosenaaslosesieanp,--iea-aae-oa-oa-aia--i-o--aol--aalae---i--oea-i-o--a-aa-s-s--s-iea--t,33,52,49
s09912,"y el gran valor, el valor de negocio serio lo alcanzan a los cincuenta",ielgr(ambalor(elbalor(denegosioser(ioloalkansanalosinkuenta,ieeamaoafapkkakelaaoaamaooseaseeieaoaasamalosenkoaena,-eea--a-a-------a-aoeae-ao--a--aei-ea--a-ea-s-n--a--,32,46,36
s07830,Recomendaciones: se debe consolidar las organizaciones indígenas en el ámbito nacional a fin de ..,rekomendasionessedebekonsolidar(lasor(ganisasionesindixenasenelambitonasionalafinde,naekomenasieanensapsaaeakasaenaaloasaanssinnsinniienaskteneelamitanasinnaankfapafinneexp,-a-oa-n--s-iea-n-------a---ae-eaeo-ea-s-a----ien-s-inmi---a-st--e-oai-en-asen-aon----a-e-ne-ea--,45,72,62
s07940,dicho nombramiento será efectivo a partir del primero de marzo del año en curso,ditSonombr(amientoser(efegtiboapar(tidelpr(imer(odemar(sodelan~oenkur(so,pniisaloaomanienaseeeeetiinmooaopaetieapeinneeooeemaasooneeaeenkoosap,nii-a-a-a-n-ien-asaeeo-ea-en-o-aoaea-ia--i-eaoe-a-s-oa-e-aiea--o-s---,39,51,42
s04829,...antes proyecto de ley de ampliación del servicio farmacéutico a la población,antespr(oZegtodeleidiampliasiondelser(bisiofar(maseutikualafoblasion,paanesraeientoaeeieiiieamieasieneeeliisooaaoaseaoikoaaooeasieaenk,-o-ne-a----aei-ie-ii-e---s-el-e--n-i-e-a-a--e-l--oaa-oo-e--ea--,37,56,46
