Id,Text,Correct,Network,Memories,Cor2Net,Cor2Mem,Net2Mem
s03402,"Se expresarán las cargas y gravámenes, condiciones, y demás derechos que les afecten",seegspr(esar(anlaskar(gasigr(abameneskondisionesidemasder(etSoskelesafekten,seeesteesaaaoaseaaeesieaoaanenieeskxakoanisianeesiiieamaaseeeseselesaseitnfp,-e-e-e-aoaea-s-t-eaaie-s-eieaaa-ee-es-ao-a-aoei-s-eaeae-i-ie-aa-aee--s-ee-sao--tea--,38,60,52
s00506,Gracias a todos los que nos apoyan asistiendo a los conciertos,gr(asiasatooloskenosapoZanasistiendoloskonsier(tosndoaloskonsier(,pneasesoooooskenmosopoliemsssinooskmnseieotkosa,-t-al-e-oooo--os-apoe-e-sis-en-o-os-ilapo-s-o,35,43,33
s05930,Son obligaciones de los miembros activos del partido que desempeñen un cargo de elección popular,sonobligasionesdelosmimbr(osatibosdelpar(tidokedesempen~enunkar(godelegsiompobular(,soooliasilellalmlimosaptimuosenpaatinoenesennpeinmnmnkaaooeeesemoplafa,---oa-alei-a-s-il-el-lna-t-o--npa-i-o-ne-en--ln--nkaoae-n--no--a-a-,40,59,48
s09338,"Para mayor información, estamos a sus ordenes en..",par(amaZor(imfor(masionestamosasusor(denesen,aomoeiieiiomosieolpkkfsolosossoollneslelnp,-aooai-ln-oa-s-ioln-k--s-ao-n--s--o-an--ln-,29,34,30
s09504,,sebiZadeter(minasiondelasimuteunarefer(ensiapor(oser(basiondelestr(eZapolar(,tseaniiieapneanmmnaseanalaasinmmnammaaaeeensiaopoaotsarnaseanalesteeeapolaeap,s-ae-i-ieae--a-a-m-n-ao-s-on-a-oa-s-mnmn-a-o-oaea-aee-oeaoa--a-as-en-ane-s-e-eapon-ae-,42,61,53
s04237,Información turística y comercial sobre el estado,infor(masiontuistikikomer(sialsobr(elestado,nomosinnlniisilnoneseasoonnnestaaokpp,i--ao--i-ni-s-i-n-on-s-a-s-nnn-s-a---,24,30,25
s09802,Licenciatura en investigación y técnicas de mercado,lisensiatur(enimbestigasioniteknikasdemer(kado,tlisensieakononnmesiieasieonotienntasnmeaeaakxap,-i-ie-ao-o-anm-s-ieas-ia-t-l-e--na-oe-a-aao-,24,35,32
s02604,Realización de programas de radio y televisión,ralisasiondepr(ogr(amasderaditelebisionteleb,raeseseneaaoaaaaeeteeeseane,o-ea-e-snae-aaeelaeaae-nll-ene,26,33,19
s03906,En este libro me parece indispensable un lenguaje ajustado y claro,enestelibr(omepar(esendispensableunlenguaxeaxustadoiklar(o,lemeseeielmoaopaeesenisesoomlmnmenmookeeomosaolieoaoop,-ae-eeaolao-als-ns-les-ooe-nmme-aoelo--aolil-la-,34,40,34
s06040,La suspicacia es la conducta política por excelencia: Ernesto Zedillo,lasuspikasiaeslakonduktapolitikapor(ekselensiaer(nestosediZo,lleasloslinasieaeslakonnmoaopoliitiapoeeselenslieaekennaslseniiilo,--a--o--in-aee-aa-oa-eaono--aoinii-a-oeae--oeans-ae-eanas-s-ianiio,28,47,42
