Id,Text,Correct,Network,Memories,Cor2Net,Cor2Mem,Net2Mem
s08706,"Acceso a la universidad, índice general",aksesoaluniber(sidadindesexener(al,aasasoaliloasieaakptinesexeeeaax,-a----aeo-a-s-ieaa--t-i-n--e-eeaa--,16,27,21
s03715,Por un cambio de la cultura escolar,por(unkambiodelakultur(aeskolar(,pooomkaiaeeakoetoeeskoeaaok,--oao-a-eoaea-o-oae--s-o-oaa-,17,24,20
s07416,Lista de lo más nuevo en internet en español,listadelomasnueboeninter(netenespan~ol,Ziiistaaelooaasnoaooenionaneeteenesaeneaaa,-eiie--aai-aooaa-naaoenm-a-e-ene-a-oa-a-,22,30,24
s04111,Escribe lo que buscas y oprime el botón palabra,eskr(ibelokebuskasiopr(imeelbotonpalabr(a,estiinaeloeomooskasppppiooelimelmooommalaaoaa,--s-iieaeia-eoo-s-as------lo-imieio-an-a--a--,24,33,31
s02622,Lo consulté con diferentes personas,lokonsultekondifer(entesper(sonas,ptpeloosleoniefeeenespesooakspp,---ea----e-a-ei-eie----al-k-s---,18,28,26
s00909,,intr(oduskasunombr(edeusuar(ikontr(asen~aipulseelboton,mrouoxosmomalmsooaiikomasenmeaeipmlsekeoooomm,-e-ao--oa--oo-oao--s-oa-i-oa-a-s-ae-na---l-s-a--o-o--oa-,33,44,40
s09444,,fomentodelosbalor(esumanosetikossosialesipr(ofesionales,tsomenooosmoaoooesmnmoaanosfpeetikosososiealesipofeseomaalessp,--a-ae--o-o-oaoao-s--oae-o-s---a--ei-o--o-s--s-e-o-es-i-o--s-a-o-i-s-k-,25,54,49
s07708,ahora que ya entendimos donde empezó el primer siglo y donde termino,aur(akeZaentendimosdondempeselpr(imer(sigloidondeter(mino,aaaeoeenaenionmooonaonesenpiooessilllooieaoneeepteomonak,-aaa-a-ae-ea-i-eaae-a-ae-s---iola-s-i--liaieoae-ee-tan-a-,32,45,40
s09808,...sin haber rebasado en medida alguna los límites del mismo,sinaberebasadoenmedidalgunaloslimitesdelmismo,sinaaeaaoasaaoaneiialmgomaalofiniteselnismoa,-s-naaaaoas-aoa-eeieia--ana-ln-s-ei---e--ni-s-o-,19,34,26
s04442,La gramática indica la clase de objetos que las cosas son,lagr(amatikindikalaklaseobxetoskelaskosasson,pllaeamoatiiimiialaeioaslokeoskelaskoosasomnpp,--oal-eaoa-i-eiii-aa-ae-s-laoea-o-s-la-s-o-s-s-a---,21,36,33
