Id,Text,Correct,Network,Memories,Cor2Net,Cor2Mem,Net2Mem
s02329,Composición de la mesa de la comisión de incompatibilidades,komposisiondelamesadelakomisiondinkompatibilidades,oomoosssiaomnelamneesarelaomisieamnimomapiiniiaaeesst,-oa-o-s-ln-lana-s-alnla-ami-s-eam-i-aaiil-iie-aai-s-,25,37,33
s00920,,inklusoloskeder(ibendelasbar(iasionesenelbalor(delamoneda,inmlsooseeeiienelaooaeiesenesnloamooalammeka,i-n-o--oo-aeneni-aaeieas-eanles-nla-aoe-ae--aa,24,37,28
s03705,Se fueron las mujeres que por mi Jesús lloraron,sefuer(onlasmuxer(eskepormixesusZor(ar(on,seaoaaeasookeeesepoolieslosieaeaaomo,--e-ao-aea-aoeiae-s-e-oa-oi-e-s-l--oeaaaa-,24,32,25
s09527,,kualkier(akeseasusopor(teomediodeakseso,pkaesieaaeseaasmsopooaommneieneakseesampp,-a--eaa--a--aa-s-l-laaa-a-n-ieiana--s-aes---,21,36,32
s06203,Todo sobre la guerra contra el terrorismo,todosobr(elagerakontr(elteror(ismo,ooosoneleaeielakonlesteoeiismma,-aoa-s-naneaeineaiak-nae---eanie---,16,27,22
s05702,Avancemos con el resto de las opciones,abansemoskonelrestodelasopsiones,aoonseomoskooleleaesooelosotseolles,ala-s-ao-oalolaoe--a-olos-ts-eoana-s-,14,25,23
s06225,"Diseño de la red de distribución primaria y secundaria del fraccionamiento ""El Trébol""",disen~odelareddedistr(ibusionpr(imar(iaisekundar(iadelfr(aksionamientoeltr(ebol,iseomiaaelaeletetisillsiemlimaeieislkomnaeieelefaksenamienooteetleeom,-i--eo-oaaaaa-e-e-s-n--am-iemnaeie---mnaiana--ats-anam-en-a-et-ana,38,54,45
s09207,Programa DIA (Desarrollo Integral de Adolescente) del DIF,pr(ogr(amadiadesaroZintegr(aldeadolesentedeldif,raonamaniieotplesaoraelieneeaeeaolesieniitppneeZiiffxt,-oaoa-aiio-a--e-aai-i-eiaeieaan-s-eo-i-t-n-eei--t,34,37,34
s06907,Los aumentos en el costo de la energía afectarán a tu bolsillo,losaumentosenelkostodelener(xiaafektar(anatubolsiZo,klesaonentssenisassaelenesiieafeaanatmosisa,e-an----nn--s-aennes-iea-e--a-ane-n-s-iee--,23,37,30
s02940,"No es el caso, me han obligado a responder",noeselkasomeanobligadoaresponder(,noaeseieaassopppppneoanmoliieaooaespomnlexp,i-aae--loeaa-s-ptt-n-aaiiaoaa--alo-e-e,22,29,30
