Id,Text,Correct,Network,Memories,Cor2Net,Cor2Mem,Net2Mem
s01514,muy importante en todos los casos es imprescindible adjuntar una prueba de impresora,muimpor(tantentodoloskasosesimper(esindibleadxuntaunapur(abaempr(esor(apr(es,nmeenobpoanmamnoomosroomosllslinpelesemnemookomoomaopomooemnplesoooaap,-i-enm-e-oa-a-nlo--laoe-o-e--inm---nenlal-oanm-elai-aee-aoee-m---alo-,52,58,55
s05020,Información para alumnos de la Universidad de Murcia,infor(masionpar(aalumnosdelauniber(sidaddemur(sia,iefoomosomoaaammmosloonmasilaoamosseiaop,ieo-o-o-os-eo--aaonmo--o-o-sn-a-o-oas-eao-t,27,38,26
s04850,La conservación del orden y tranquilidad en lo interior y la seguridad en lo exterior,lakonser(basiondelor(denitr(ankilidadenluinter(ior(ilasegur(idadenloekster(ior(,leakoneaoasieanelaaoaenneentiiieaaelnlintieiieareiieaseemoiieaaeelleseieaek,-ao-ani-aoaes-ieneioi-aaeainmain-i-iiaaeoeinu-ie-ea--ioa-ino-iioaaeia--ieoae-,44,56,47
s04625,Cuarenta años por la salud del pueblo,kuar(entaan~ospor(lasaludelpueblo,poaeeaelsolosalullpboolmop,o-oaiie-a-iaie--oo-s-o-l-l-o-l--o,18,27,23
s01210,La fiebre de la red acampa en Valencia,lafiebr(edelaredakampenbalensia,leafieereeelareetkaoamemaeiinisieao,o-ieaieiaoeiaieialaieai-aoa-a-li-aiinosia,17,27,26
s09842,Proyectos dirigidos al desarrollo de las energías renovables,pr(oZektosdir(ixidosaldesaroZodelasener(xiarenobables,praeliektosiisilosallesaaroeieolelaseniesieasanooalssp,--li-elsinisial-s--li-s-aa-eolea-s-iei-sioaeanlo-oae-a-s,25,40,35
s03920,dentro de la sección de integración económica,dentr(odelasegsiondeintegr(asionekonomika,mentoolmoslesiomnlenelosilmmnomomnkpt,-emoloea-le-ilneine-aleslmnilomamnm-t,23,27,23
s04534,"Competición entre machos. Información sobre la ""calidad"" de los genes",kompetisionentr(ematSosinfor(masionsobr(elakalidaddelosxenes,komnetisiennntenmatsxspptlnntoamasimnsonenataeintaptenossaenisst,-om-i-s-nnmm-nnm-oa-ee-s--t--nieoamos-in-a-ianaannnniaipin-s--ienmn-ss-,31,54,47
s04103,Creo que murió cuando la última guerra,kr(eokemur(iodur(antelaultimagera,leaoenmmliieoouoanelaooltimaleaaat,eiaoa-emn-nioaoan-leaoo-niin-anila,18,24,23
s08521,Hoy es un orgullo tener la OPO,oiesunor(guZotener(laopo,ooiismooooiioteeealoaapoopotp,-o-iies-naoaoioeiea-aa--o-o-,16,18,17
