Id,Text,Correct,Network,Memories,Cor2Net,Cor2Mem,Net2Mem
s02949,Consumo de las grasas en la dieta habitual,konsumodelasgr(asasenladietaabitual,pkomnismmooaoloaseaasaselnaeiietaanipuoanlrp,-o-s--oeaeo-laa-s-a--anaa-niea-aani--o-al--,20,28,29
s01634,del titular de los mismos,deltitular(delosmismos,pmneiilamenmomiossa,na----aoni--os--,15,18,15
s03614,El PRI se encuentra en una fase especialmente crítica,elpr(isenkuentr(aenunafasespesialmentekr(itika,eiepeiiiitsenoaneaemmatasesesiealmenikiiitiikeaap,-e--e-ii-in--s-en-oe-an-a--a-a-s-e---s-a-n-e-ei--i-aa--,26,40,38
s02709,"Introduzca su nombre de usuario y contraseña, y pulse el botón",intr(oduskasunombr(edeusuar(ioikontr(asen~aipulselboton,kpenosoasolomalosoaeiopiontaseenieakiitosalnuotonllekpp,--ein-oo--s-o-a-oane-os-aai-o-i--a-s-ein-eaoeo-t-o-s-alnooaln----,37,49,41
s03830,somos los jardineros de los jardines del emperador,somolosxar(diner(osdelosxar(dinesdelemper(ador(,somonosanimeeaoseolosanieeselnneaaoafa,-ao-o--s-ann-ea--oal--alnoa-am-aala--,22,34,28
s06832,Para el desempeño de sus funciones se apoya en tres áreas,par(eldesempen~odesusfunsionesseapoZentr(esar(eas,toaellsemmnmmlsusmsimmeskseopolimeesaeies,--an--n-ia-----ee---eo-i--aie-s-aeo--,26,40,34
s00646,es que no tiene ninguna moneda,eskenotineningunamoneda,nsnnminnnnnnmnnnnnmnp,-e--nmi-in-innannn-n---,15,17,13
s08704,Realización de programas de radio y televisión,relisasiondepr(ogr(amasderadiitelebision,aeeisaseaeaaoaamasaaaeenteleeisiank,-a-e---ee-aa-a-oa-a-eeila-ai-s-ian,19,31,23
s05548,"¿Cuál es el motivo más frecuente de descompostura o accidente? 
",kualeselmotibomasfr(ekuentededeskompostur(aoaksidente,koaasaomoteoomoseeonteeeesompostooaaooasieenteeakk,-aae--alao-e-ooaoe-s-e-on-eaala--oo-t-leaa-ooa-sieeanea-,26,41,33
s05431,"Puede ser necesario proveer tiempo extra para los talleres de los participantes. 
",puedeser(nesesar(iopr(ober(tiempoekstr(apar(alostaZer(esdelospar(tisipantes,toeeseanesesaaeiopomeetimmooeeisaaanmosaeiieesemoxaaptisinannkxst,--oei-s-onas---ai-e--o-oa-i-noe-i-s-aa-ano--iole-e--a--is-ianm----,34,52,46
