Id,Text,Correct,Network,Memories,Cor2Net,Cor2Mem,Net2Mem
s08529,¡Mirad! si quedó en el suelo alguna gota de sangre,mir(adsikedoenelsueloalgunagotadesangr(e,miieaatsieloeaesolooaaoooaoootaesaeoneiie,-ei-ieaaas-i-ilooia-s-na-aa-ooaooaae-s-ooneii-,23,34,21
s00643,Lugar de operación ciudad de México,lugar(deoper(asionsiudademexiko,nmmamnemeeasimnnppsileanniiikomnp,-moaneomnla-sininmnep--eoalenii-o-,22,24,22
s05837,Al terminar la subasta recibirás toda la información que necesitas sobre tu contraparte,alter(minar(lasubastaresibir(astodalinfor(masionkenesesitassobr(etukontr(apar(te,aetelelalasuooastaapplosieasoaoleeoomoaseeessieasooeokoomaaoaomkea,-ea-eo-ea-oal-o-oast-a---s-ieoes-oao-o-o-os-oe-ea---io-lo-s--o-lo-okooaao-ae-,43,61,48
s05904,Realización de programas de radio y televisión,realisasiondepr(ogr(amasderadioitelebisin,eeisesilnleplooamoseaailiteenlsie,-aiiis-s-ini-ioloaao-lelai-tnlni--iet,18,28,24
s09617,,atr(abesdesugueofisialesposiblekonsegir(imbitasionesgr(atuitas,pataaansasuooaooofisiealpesposinnekooseiiiiniasieneaesneatlitafssp,-a-alani-as-oaooaoo-i--a-ei-o-mnoo-ei-iin-inas-in-eania-s--,30,47,39
s03715,Por un cambio de la cultura escolar,por(unkambiodelakultur(aeskolar(,pooookanieaeeaolekoeeskoeaak,-oao-oa-aeaaoo-ie-e-o-eoaao,17,24,18
s00620,cuenta con un clima templado la mayor parte del año,kuentakonunklimatempladolamair(par(tedelan~o,komnaokommnlimatmmoomomoilpaomtslllaennop,-ao-oao-oimnmo-iena-ime-ooanial-oeil-ann--,25,35,29
s09305,"Dirección: Mesón de San Antonio, calle Alonso, número... 
",dir(eksionmesondesanantoniokaZealonsonumer(o,ppiieesieonrpppppplesoomnlsolanoonilmpkpkeiieamooisoonuomloeoop,-niiesi-el-ok-k--m-s-omls-ala-oonlo----a-il-inoo-s-oo-oinoluon-,37,45,42
s04426,"Políticas, bases y lineamientos en materia de adquisiciones, arrendamientos y servicios",politikasbasesilineamientosemater(iadadkisisionesarendamientosiser(bisios,poliintiikeasppoaslsiliemealmlienlsmoateieekeissenestarelamenlsseisssp,--oinlioa-p-oao-s-ie-eol-im-s-aa-leielaki--s-lns-k-ollo----s-ni-s---,37,57,49
s08906,"Todos los días. Incluidos domingos y festivos. Desayuno, comida, merienda y cena",toolosdiasinkluidosdomingosifestibosdesaZunokomidamer(iendaisena,toomotiieastinmlosmmimosifestiooxkplsaeimnmookomiienameiienaaeisenar,--oo-i-as--in-oe-omeo-----i-o---ke-n--ai-ooomi-aei-naaei-s-ai-ao-,30,49,48
