Id,Text,Correct,Network,Memories,Cor2Net,Cor2Mem,Net2Mem
s04803,"¿En qué parte de capital federal estás?
",enkepar(tedekapitalfeder(alestas,teineanaataeeaitaeeeeaesaast,-iei-e-aa-aeae-a--a-iaea--aa-st,17,23,16
s07213,Con lo dado que he sido siempre a publicar todo lo que aprendo,konlodadokeesidosiempr(eapublikar(todolokeapr(endo,tkooloaaaaoeeesieesieneakomiitaekoolmoeaeenna,-anaaaaee-iea--iie-s-ean-a-ii-a-alla-ealnea-o,25,34,32
s05822,"Eventos, conferencias, seminarios, talleres e información de nuestros contactos en los próximos meses",ebentoskonfer(ensiasseminar(iostaZer(eseinfor(masiondenuestr(oskontaktosenlospr(otsimosmeses,eleenloossooeeesiessaksemineaeieosspaeiieeseiifomoasieaneemostokompaaptloseospoosimomleses,lelee-lo-s-k-o-o-e-s-ea-s----e--e--la-sst--ii-ea--e-ii-oao--s-eaea-s--o-o-ao---e--o-a--o---s-es,44,75,63
s07250,La prueba de acceso se estructura en dos partes,lapr(uebadeaksesoseestr(uktur(aendospar(tes,ieapoaoaeesesoseestltlenlospaatss,ia-oaaea--s-ie--s-i-stn--lolna-s-aa-sts--,18,33,25
s08406,El buscador incluye documentos de decenas de servidores de la UC,elbuskador(inkluZedokumentosdedesenasdeser(bidor(esdelauk,teluostaoaeinllieookomentotleleseeaatesenlilaetelaooka,-n-o-talaleie-liea-ao-en-o-elas-aaao--e-i-ae-lleoa--a-a,28,44,33
s05419,Puede suscribirse a la lista o cambiar la suscripción actual en las secciones siguientes: ..,puedesuskr(ibir(sealalistaokambiar(lasuskr(ipsionaktualenlaseksionesigientes,poeeslsiiiisieaaliistaokamiieaoaslsiiseanmapoaaeimnasisienisiiienksst,-e----eio-ies-aeaeli-s-aoaoie-aa--l-eis-ea--oaa-ina-s-e-e--s-iiini--s-,36,54,43
s05940,Elija la que mejor se adapte a sus necesidades,elixalakemexor(seadapteasusnesesidades,eiikaloaeekooseaapeaslnsesiiaesst,-iei-a---o-s-aa--ieaa--eo-e-ina-is-s-,16,29,26
s06638,El poder de las audiencias activas y o poderosas,elpoder(delasaudiensiasaktibasiopoder(osas,pkeiooeeeeasaomiiensiesapaektiiasapppliiipoapooeaosaska,o-ae-oeaee--eo-ei-e-as--oae--ea-s-aptelii--ae--o-eoa-s-as-o,29,42,39
s02731,Es el punto de encuentro de los más diferentes,eselpuntodenkuentr(odelosmasdifer(entes,eslooaeooaentooalosnasifeeentssapt,-eas---e-aoeeo-ane-oa-eo-aa---aenss-,19,29,26
s05450,"Crean un laboratorio de investigación del ferrocarril que permitirá mejorar el confort y la seguridad. 
",ker(eanunlabor(ator(iodeimbestigasiondelferokarilkeper(mitir(amexor(ar(elkonfor(tilasegur(idad,keeeaannnaooapoiieimiestiieasinelfeaokaaiiisiekeemitieamekoaaeilomootiiasemnmiieaa,-aeiean--aaa-ea-aoie-ainl-siea-s-ianal--okoaeii--eelani-i-aa--aeaeileone-ol-iia-s-elniaeap,39,60,53
