Id,Text,Correct,CorrSize,Network,NetSize,Memories,MemSize,Cor2Net,Cor2Mem,Mem2Net,NetworkND,NetSizeND,MemoriesND,MemSizeND,Cor2NetND,Cor2MemND,Mem2NetND
s00107,Eso es lo que se refleja,esoeslokesereflexa,18,kpppger(geeeeeeeeeeeossssssssssouoooddddeeeeeeeeosssrlllr(ooooogkkkkxxxosssssstdeeeer(rrrrrrr(eeeer(r(r(ffffffblllggbbeeeeeeexxxxxxxxxxeeaaaaaaaxxxxxxxxxxx,148,kpppr(r(r(r(eeeeeeeeeeer(ssssssssdoooooddddeeeeeeeasslllleoooookkkkxssssssdeeeer(r(rrrrr(r(eeeer(r(r(ffffdllllbleeeeeeexxxxxxxeeaaaaaaxxxxxxxxx,131,131,114,31,er(osodeososstderer(blbexxeax,27,pr(er(dodeasderer(blexxeax,23,15,13,10
s00109,"Fondo de las Naciones Unidas para la infancia, UNICEF",fondodelanasonesunidaspar(alaimfansiaunisef,42,ppppppppoxxsffffffffouuuooooooooonnnnddddddooddddddddddeeellllr(eaaaallddddddaaaafsssssssiiiiuudddeeoossssssssuuuuudddlllldddddooosssssssppttttpr(oaeeeer(llllddgiiiiiiillmmfffffffaaaaaaaaannnnnnnnsssstttiiiiieeeaaaaaaaar(r(dddppppkkkkkguuuuuuuuummmmmniiiisssssssssdddeeeeeeeeeeooofffffffffffffff,290,ppppr(offffffuuuuoooooooodnnnnddddddoddddddddddeeellllr(aaaaadr(ddddddaaadsssiiundddeeoossssssssuuuudllllllddddeooosssssdtpttttr(r(oaar(aar(r(llllldeiiiiiildr(nffffffaaaaaaannnnnnnssssdiiiiieeaaaaaaaaadr(dddkkkuuuuuuuuumnnmnniissssssssdr(ieeeeeeeeeofffffdfffffffd,252,256,217,73,posfoonndodeelaalassideosudossppr(ar(imfstiar(gunisdef,51,pr(ofunndodeelr(aadadsiunddeosudeosttr(ar(ar(delansdiadkunisiod,58,25,32,26
s00119,Cocinar es un acto de generosidad,kosinaesunaktodexener(osidad,27,ppkkkkkkouooooossssssxsfpuiiiiiiimmnnnddeeaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaadpppppppppprr(eeegr(ssssssuuuuuuuumnnnddddaaaaaaaaatstppttttr(ooodddddeeegfffffxxiieennnnggldlr(rrrrr(eooosssssssffpiiiiilddddddr(r(aaaaaaaaar(dddtttttttdptdstpfappp,233,okkkkkkoooooossssiiiiiimnnnldeeaaaaaaaaaaaaaaaaooaaaaaaaaaaaaaar(dddddtor(r(eeer(r(sssssuuuuuuumnnnddddaaaaaaaar(tppttttr(oooddddr(eeefffiieelnnmlldr(r(r(r(rr(r(r(ooosssssr(iiiielddddddr(r(aaaaaaaaeddddttddddddddd,195,208,171,72,koospunnddeadeegr(unndsttr(odeegxiendeospr(r(ar(stap,47,koossider(tor(er(unndar(tr(or(efielosielr(ad,37,29,21,26
s00125,para una buena parte de las personas no,par(aunabuenapar(teelasper(sonasno,31,pptppppr(aaaar(r(r(r(r(r(aaagggggouuuuummmbbbr(aaaaaagggguuueeerrr(r(r(r(aaaaaapppppppuoaaaar(r(r(r(ddpptttddr(eeeeeeeeeeeellllr(eaaar(r(sssppppppppppbr(eeer(r(r(r(sssssssstouuuooooor(r(lnnnnblaaaaaaaaaassssssssttppppppppppbblmmmmmmmn~n~mmbuuooouubbooooooooooooaaaaaaar(r(l,242,pptppppaaaaar(r(r(r(r(r(aaaggguuuuunmmlllr(aaaaaaggguuudeerrr(r(r(r(aaaaaapppppuoaaar(r(r(r(r(ddtttr(lr(eeeeeeeeeeeelllllr(aaar(r(sstpptpppppr(eeer(r(r(r(esssssoooooooor(r(r(nnnnnlaaaadaaaasssssddttpppppddlnmmmmmmmmblooooouoooooooooooooaoaaaaar(r(r(,217,215,188,55,pr(ar(agumbbr(aguerr(apuar(elar(sbr(er(stor(blaasstmbubar(,48,par(aguunr(agudeerr(apuar(tr(elr(ar(stpr(er(esor(laadastmblar(,51,28,26,18
s00134,Empaque y envase en la industria de los alimentos,empagiZembaseeleindustr(aelosalimentos,37,eeeeeeeeeummmmmmbpppppppaaaaaaar(r(r(r(ppkr(r(r(iiiiiiiiiiiieeeommmmmmbbbbbaaaaaaaaaaassssssssddieeeeeeeeeeer(r(eeeeeeeeer(r(r(llggeeeeeeeeennnmmnn~n~n~illluuusssssssdddieeeeeeeeeeZZiioooossstdddr(eeeillllliiiiimmmmmbbleeeeeeeennntdtppttttttuuuuussxxxxxssssssffffffp,250,eeeeeeeeer(mmmmllpppppaaaaaaar(r(r(r(r(r(r(iiiiiiiiiiiieeemmmmbbdoaaaaaaaaaassssssdlieeeeeeeeeeer(r(r(eeeeeeeer(r(r(llgldeeeeeeennnnmnr(llluuussssssdddeeeeeeeeeer(eoooosssddddr(aeeellliiiimmmmmmbr(eeeeeeeennntttptttttdouuuuxxxxsssss,214,222,185,57,umbar(iommbasdier(er(ensdiZiosstr(imblennttusp,42,er(par(iembasier(er(deensder(osr(aelimbr(enntos,40,26,18,19
s00137,desde hace mucho tiempo viven de la limosna de las palabras,desdeasemutSotiempobibendelalimonaelaspalabr(as,45,pppbbdddddeeeeoesdddddieeeeeeessssstieeeeoomouuuulltStStSrZiieeeeelllptttttiiiiiieeeoommmmppppppppbuuuuuuuuuuuuoobbbbbbbbiiiiigbbddieeeeennnnddddeeeellllleeeeellllliieommn~n~n~n~mbbuuuuuuoor(r(r(r(nnmmmmuuaaaaddddeeelllllaaaossssspppppppppaaalllllbbaaaaaaaaar(bgggor(r(r(r(r(r(aaaaaassssssssssssssssssssssffffff,293,blddddeeeeesddddddeeeeaaossssdeeeennmoouuullr(iieeeellr(ttttttiiiiieeeommmpppppppbuuuuuuuuuuuuuobbbbbbbbiiiiir(blddieeeeennnddddeeeellllr(eeeeellllliiellmnmuuuuuuuuoor(r(r(r(nnmmmmnoaaaaddddeeelllllaaaessssttpppppaaallllldaaaaaaaaar(dbbber(r(r(r(r(r(r(aaaaesssssssssssssssssssdffff,265,251,223,63,deesdiesstiomutSeeltiommpubibiennddeeleliommbor(muaddeellaosspaalbar(gor(aas,72,bldeesdeosdeenur(ieltiommpubibliennddeelelielmor(aaddeellaesstalar(ber(aes,70,35,34,23
s00139,no tiene nada que ver con el título y no debe usarse como tal,notinenadakeber(koneltituloinodebusar(sekomotal,45,ppppr(lnnmnllluooaadootttttttiiiiiiddddeeeeeeenndddaaaaaaaaaaaaaaaar(r(r(r(pkkr(r(eeiubbbgeeeeeer(r(r(r(kkkkgooooonlddeeeeeellllspppppttggiiiiiiiiimmtttttuuuuuuunllllbuoooooooooooubbpppppppppppppppppppppppppbiiiiiimbnlldoooooooddddddeeeeeer(bmuuulloooosssdddr(r(eaarr(r(r(r(r(r(sssdddeeer(ppkkkkkkoouuumbbbbuuuuoobppppttttr(aaaaaaaaar(lllllllllllllr(ller(r(llp,334,tppr(lnnmnllloooodoottttttiiiiiidddeeeeeeennldr(aaaaaaaaaaaaaaaar(r(r(r(kr(r(eeibbbueeeeeer(r(r(r(kkkkuooonlddeeeeeelllr(stttttiiiiiiiimntttttuuuuuuunllllr(oooooooooooor(ptktpppppptpbiiiiimnldlooooooddddddeeeeeer(lnuuulleeoosssdddr(r(r(aar(r(r(r(r(r(r(ssdddeeer(dkkkkkouuummbbuuuuooupppttttdoaaaaaaaar(r(llllllllllllr(r(ler(r(r(dd,296,291,254,74,pr(aadideenndar(uer(gonddeelsptuunubimbldoder(mulosar(der(kombotr(ar(er(,63,pr(lodideendr(ar(ibuer(kuonddeelstinttuunor(kbiloder(ulosr(ar(der(kommbudar(er(,68,36,37,24
s00142,La agricultura y ganadería de acuerdo con la ordenación general de la economía,lagr(ikultur(iganader(iadeaguer(dokolaor(denasionxener(aldelakonomia,62,pbllllllllllllaaaaaaaar(r(r(dr(eer(r(dr(iiiiiignkkkkkguuuuulllustttttr(uuuoor(r(eeeeeeeeigedeeeeeeeer(nr(r(r(aaaaaddddddeeeeeeeeeebbr(eiiiiiiiiiiiiiiieeeeeaaaaaaaaor(r(r(r(r(aaar(ddbbmmnbdddddiieeeer(r(r(ggkkggggguuuuuooer(r(eoooddddooooooobkkkkkououuiillggoooooellldddeeeennnnnggeaeesssssssstZiiiiooooouuuugkkkkkgeeeennnddiiggggger(aaaaaallllddddeeeeellllleeaaoor(gkkkkguuuoor(mmbmn~iuuuummmmmmmmbmiiiiiiiiiiieeoaaaaaaaaaaaaaaaaa,400,llllllllllllr(aaaaaaaar(r(r(lr(eer(r(dr(iiiiiimkkkkkuuululnlldtttttr(ouuoor(r(r(eeeer(eelldeeeeeeeennlr(r(aaaaaddddddeeeeeeeeeer(dr(eiiiiiiiiiiiiiiieeeeaaaaaaaaoer(r(r(r(r(aar(r(r(ldr(mmnddddddlieeeer(r(r(okggggguuuuooor(r(r(eooddddoooooookkkkkuooilllooooooor(lldddeeennnnnlueaanssssssdiiiiuoooouuukkkkkeeeennnddilr(r(ier(r(aaaallllddddeeeeellllleeaaoor(kkkkuuuoolmmbummmmmmmmiiiiiiiiiieeoeaaaaaaaedaaaodoo,368,347,317,85,blar(er(iggulusttr(or(igder(r(aaddebr(ior(ar(ier(guer(odokolgeldeenesstikenndiger(aaldeelar(gur(mbimbi,88,r(ar(er(ikkulundtr(or(er(eldeenr(aadder(ior(ar(ndier(ogur(odokulor(deenansdukenndier(aaldeelar(kulmbumiododo,93,46,52,35
s00145,Trabajo educativo en las calles de la Ciudad de México: El caracol,tr(abaxuedukatiboenlaskaZesdelasuademexikoelkar(akol,50,pppppttr(r(r(lr(aaaaaagbbbuoaaaaaaaaakxxxouuuuueeedddddouuuuukkkkkkkeeeaaaadtppttttdr(iiiiiiiiiibbbbggggguoooooooobbbpppppppppppppppppppppppppkkgeeeeedllllllllaaaaasssssssskkkkkkkaaaaaaeeeeeeeeeeoossddddeeellllleaaar(r(rfffrr(iiiieeaaaaadddddeeeeeer(mmmbbbeeeeeeerxxxxxxxxiiiiiigkppkkkkkkuugguuugguoooobbpppppppppppppppppppppppppprr(eeeeeeeeellggppppkkkkkgaaaaarr(r(r(r(aaaaapppkkkkkuuuuooooooor(r(r(r(r(lr(r(r(eibd,393,kptttr(r(r(r(r(aaaaaabbbooaaaaaaaaxuuuoeeedddddouuuuukkkkkkeeaader(ddttttttddiiiiiiiiiubbbggooooooooodbbptppppppptptpppptppkkeeeledllllllllaaaaessssssdkkkkkkkaaaaaeeeeeeeeeeoodddddeeelllllr(aar(r(r(ffr(r(r(eiiilr(aaaaadddddeeeeeer(mmmbbr(eeeeeer(xxxiiiiktkkkkkkuuuouuguooooupkkkppptttttpr(r(r(eeieeeelr(lkktpkkkkkr(r(aaar(r(r(r(r(aaaaapkkkkkuuuuoooooor(r(r(r(r(r(r(r(r(eidd,336,347,292,115,tr(r(abaxudukaadibgulaaskaosdeelar(iadder(mberxikkugugur(elgar(akur(ib,63,tr(r(abaxudukaader(ugoellaeskaddeelr(ar(ir(aadder(mbbr(er(xiikkugupr(ielkr(ar(akur(id,72,29,38,22
s00147,El morado nos indica que es tiempo de adviento de cuaresma,elmor(adonosindikakestiempodeadbientodekuar(esma,46,ppppgeeer(r(iiiinnmn~iiggguuoor(r(r(r(r(r(r(aaaaaaaddddddddnnnllbuoooossssssssiiiinnnnmmmmmddddiiiiiiiiiiipkkkkkkeeeeaeeeer(r(kkkkgeeeeeeesssssssttttttttiiiiiiiieeeommmmmppttppttuuoooddddiiiieeeeeeeeer(dggbbbbbbiiiiiiieeeeeeeennnnppppppttttttuuuuouudoooooouupdddddeeeeggkkkkgguuuuooeer(r(r(r(eeeeeeeeeeeossssspbmmmmmbbbaaaar(ar(aaaa,313,pppr(leeer(r(eiinnniibguuoor(r(r(r(r(r(r(aaaaaaaddddddddnnlllloooosssssiiiinnnnmmmmndddiiiiiiiiikkkkkkeeeaaeeer(r(r(kkkkeeeeeeedssssstttttiiiiiiieeeommmmmpttttttuuoooddddiiieeeeeeeeeedlbbbbbbliiiiiiieeeeeer(nnnnkkkkttttttouooooodooooooudddddeeeelgkkkguuuuuooeer(r(r(r(eeeeeeeeeeeossslmmmmmbbaaaar(r(aaaa,283,271,242,60,er(igur(aadossidikar(esstiommptudier(bienttududeegguer(ossmbar(ar(a,60,pr(er(inibgur(aadossindikar(esstiommptudiblier(ktoddeelguer(osmbar(a,61,32,33,17
